"MASC","tau_raw","QE_raw_str","QEp_raw","tau_cor","QE_cor_str","QEp_cor"
"Albarracin_Priming_SAT",0,"5.454 (7)","0.605",0,"5.298 (7)","0.624"
"Hart_Criminal_Intentionality",0.171,"18.96 (11)","0.062",0.185,"18.81 (11)","0.065"
"Husnu_Imagined_Contact",0.087,"47.581 (35)","0.076",0.094,"47.351 (35)","0.079"
"Nosek_Explicit_Art",0.178,"62.771 (35)","0.003",0.19,"63.074 (35)","0.003"
"Nosek_Explicit_Math",0,"39.169 (35)","0.288",0,"39.107 (35)","0.29"
"PSACR001_anxiety_int",0.085,"74.655 (48)","0.008",0.088,"74.251 (48)","0.009"
"PSACR001_behav_int",0.068,"65.204 (48)","0.05",0.077,"65.253 (48)","0.049"
"PSACR002_neg_photo",0.22,"219.709 (36)","<.001",0.26,"237.115 (36)","<.001"
"Shnabel_Willingness_Reconcile_Rev",0.233,"23.367 (7)","0.001",0.253,"23.182 (7)","0.002"
"Shnabel_Willingness_Reconcile_RPP",0.073,"8.472 (7)","0.293",0.071,"8.244 (7)","0.312"
"Srull_Behaviour_Hostility",0.054,"24.493 (21)","0.27",0.034,"24.677 (21)","0.261"
"Srull_Ronald_Hostility",0.046,"24.756 (21)","0.258",0.053,"24.593 (21)","0.265"
